experiment,accuracy,f1
0,0.40666666626930237,0.20691214501857758
1,0.3686666786670685,0.20630161464214325
2,0.38866665959358215,0.20897795259952545
3,0.3946666717529297,0.21130304038524628
4,0.39266666769981384,0.20188860595226288
